,Mean Temp,date
247,16.2,04-10-2020
248,13.3,05-10-2020
249,11,06-10-2020
250,10.1,07-10-2020
251,10.9,08-10-2020
252,7.5,09-10-2020
253,15.2,10-10-2020
254,6.6,11-10-2020
255,2.7,12-10-2020
256,-0.6,13-10-2020
257,1.3,14-10-2020
258,0.1,15-10-2020
259,-0.3,16-10-2020
260,-6,17-10-2020
261,-7.6,18-10-2020
262,-4.4,19-10-2020
263,-1.5,20-10-2020
264,-5.9,21-10-2020
265,-9,22-10-2020
266,-10.4,23-10-2020
267,-13.4,24-10-2020
268,-10.9,25-10-2020
269,-1.2,26-10-2020
270,8.3,27-10-2020
271,2.1,28-10-2020
272,2.4,29-10-2020
273,5.2,30-10-2020
274,1.7,31-10-2020
275,8.5,01-11-2020
276,13,02-11-2020
277,13,03-11-2020
278,8.8,04-11-2020
279,6.9,05-11-2020
280,0.1,06-11-2020
281,-3.8,07-11-2020
282,-9.3,08-11-2020
283,-5.8,09-11-2020
284,-2.1,10-11-2020
285,-10.4,11-11-2020
286,-6.1,12-11-2020
287,-3.3,13-11-2020
288,-3.1,14-11-2020
289,-3.2,15-11-2020
290,-0.8,16-11-2020
291,1.5,17-11-2020
292,-2.3,18-11-2020
293,-10.2,19-11-2020
294,-4.9,20-11-2020
295,-1.1,21-11-2020
296,-5.4,22-11-2020
297,-2.6,23-11-2020
298,-0.5,24-11-2020
299,-2.9,25-11-2020
300,0,26-11-2020
301,4.7,27-11-2020
302,0.3,28-11-2020
303,-1,29-11-2020
304,2.3,30-11-2020
305,-1.5,01-12-2020
306,1.8,02-12-2020
307,4.6,03-12-2020
308,5.2,04-12-2020
309,3.6,05-12-2020
310,4.7,06-12-2020
311,7.4,07-12-2020
312,5,08-12-2020
313,-3.7,09-12-2020
314,-6.9,10-12-2020
315,-10,11-12-2020
316,-9.4,12-12-2020
317,-15.5,13-12-2020
318,-9,14-12-2020
319,-2.9,15-12-2020
320,0.5,16-12-2020
321,-2,17-12-2020
322,-3.3,18-12-2020
323,2,19-12-2020
324,1.1,20-12-2020
325,-0.1,21-12-2020
326,-10.4,22-12-2020
327,-7.8,23-12-2020
328,4.1,24-12-2020
329,-1.3,25-12-2020
330,-6.3,26-12-2020
331,-10.1,27-12-2020
332,-8.7,28-12-2020
333,-11.1,29-12-2020
334,-5,30-12-2020
335,-5.4,31-12-2020
336,-0.9,01-01-2021
337,-0.1,02-01-2021
338,-0.9,03-01-2021
339,-2.7,04-01-2021
340,-0.3,05-01-2021
341,-2.2,06-01-2021
342,-3.2,07-01-2021
343,-8.7,08-01-2021
344,-7.5,09-01-2021
345,-4.2,10-01-2021
346,2.5,11-01-2021
347,2.5,12-01-2021
348,2.1,13-01-2021
349,-3,14-01-2021
350,0.3,15-01-2021
351,1.5,16-01-2021
352,1.4,17-01-2021
353,-3,18-01-2021
354,-1.6,19-01-2021
355,-3.7,20-01-2021
356,-7,21-01-2021
357,-8.5,22-01-2021
358,-9.2,23-01-2021
359,-14.9,24-01-2021
360,-16,25-01-2021
361,-15.2,26-01-2021
362,-13.2,27-01-2021
363,-14.7,28-01-2021
364,-11.5,29-01-2021
