,Mean Temp,date
250,12.3,07-10-2020
251,15.6,08-10-2020
252,14.1,09-10-2020
253,13.6,10-10-2020
254,9.4,11-10-2020
255,11.3,12-10-2020
256,12,13-10-2020
257,10.5,14-10-2020
258,8.6,15-10-2020
259,11.8,16-10-2020
260,11.5,17-10-2020
261,10.2,18-10-2020
262,11.5,19-10-2020
263,9.9,20-10-2020
264,9.3,21-10-2020
265,7.4,22-10-2020
266,5.6,23-10-2020
267,5.2,24-10-2020
268,0.9,25-10-2020
269,4.6,26-10-2020
270,7.7,27-10-2020
271,11.8,28-10-2020
272,11.8,29-10-2020
273,10,30-10-2020
274,5.6,31-10-2020
275,6.4,01-11-2020
276,7.8,02-11-2020
277,10.1,03-11-2020
278,13.5,04-11-2020
279,10.1,05-11-2020
280,6.7,06-11-2020
281,6.4,07-11-2020
282,3,08-11-2020
283,1.4,09-11-2020
284,3.5,10-11-2020
285,2.2,11-11-2020
286,4.6,12-11-2020
287,6.4,13-11-2020
288,5.2,14-11-2020
289,8.2,15-11-2020
290,6.9,16-11-2020
291,9.7,17-11-2020
292,7.7,18-11-2020
293,6.4,19-11-2020
294,8,20-11-2020
295,5.5,21-11-2020
296,4.5,22-11-2020
297,6.3,23-11-2020
298,6.8,24-11-2020
299,6.2,25-11-2020
300,6.1,26-11-2020
301,8.7,27-11-2020
302,5.4,28-11-2020
303,3.7,29-11-2020
304,7.5,30-11-2020
305,3.9,01-12-2020
306,3.1,02-12-2020
307,3.4,03-12-2020
308,5.1,04-12-2020
309,5.4,05-12-2020
310,6.7,06-12-2020
311,9.3,07-12-2020
312,8.4,08-12-2020
313,8.4,09-12-2020
314,5.2,10-12-2020
315,4,11-12-2020
316,1.8,12-12-2020
317,3.2,13-12-2020
318,6.3,14-12-2020
319,7.5,15-12-2020
320,8.1,16-12-2020
321,7.3,17-12-2020
322,7.5,18-12-2020
323,6.4,19-12-2020
324,7.3,20-12-2020
325,4.3,21-12-2020
326,2.1,22-12-2020
327,2.1,23-12-2020
328,0.1,24-12-2020
329,3.7,25-12-2020
330,6.5,26-12-2020
331,5.2,27-12-2020
332,5.3,28-12-2020
333,4,29-12-2020
334,4.8,30-12-2020
335,6.5,31-12-2020
336,8.5,01-01-2021
337,7.9,02-01-2021
338,5.8,03-01-2021
339,5.8,04-01-2021
340,5.2,05-01-2021
341,6.7,06-01-2021
342,5.6,07-01-2021
343,4.3,08-01-2021
344,3.2,09-01-2021
345,6.9,10-01-2021
346,9,11-01-2021
347,9.7,12-01-2021
348,7.8,13-01-2021
349,5,14-01-2021
350,7.5,15-01-2021
351,5.4,16-01-2021
352,5.8,17-01-2021
353,4,18-01-2021
354,3.9,19-01-2021
355,5.1,20-01-2021
356,3.9,21-01-2021
357,1.5,22-01-2021
358,0,23-01-2021
359,2.3,24-01-2021
360,3.2,25-01-2021
361,4.4,26-01-2021
362,3.2,27-01-2021
363,4.6,28-01-2021
364,4.8,29-01-2021
365,5.8,30-01-2021
366,6.5,31-01-2021
367,6.2,02-01-2021
368,5.4,03-01-2021
369,4.6,04-01-2021
370,4.9,05-01-2021
371,6.4,06-01-2021
372,6.8,07-01-2021
373,5.5,08-01-2021
374,0.7,09-01-2021
375,-0.8,10-01-2021
376,-1.6,11-01-2021
377,-1.8,12-01-2021
378,-3.5,13-01-2021
379,-1.8,14-01-2021
380,0.1,15-01-2021
381,2.4,16-01-2021
382,5.7,17-01-2021
383,3.3,18-01-2021
384,4,19-01-2021
385,4.7,20-01-2021
386,2.9,21-01-2021
387,7.9,22-01-2021
388,8.1,23-01-2021
389,4.5,24-01-2021
390,1.9,25-01-2021
391,5.7,26-01-2021
392,5.8,27-01-2021
393,2.4,28-01-2021
394,5.1,29-01-2021
395,7.8,01-03-2021
396,4.8,02-03-2021
397,6.6,03-03-2021
398,6.4,04-03-2021
399,8.8,05-03-2021
400,8,06-03-2021
401,6.7,07-03-2021
402,5.9,08-03-2021
403,7,09-03-2021
404,4.4,10-03-2021
405,3,11-03-2021
406,6.5,12-03-2021
407,8.2,13-03-2021
408,7,14-03-2021
409,3.9,15-03-2021
410,3.8,16-03-2021
411,3.8,17-03-2021
412,7.7,18-03-2021
413,8.6,19-03-2021
414,7.6,20-03-2021
415,5.7,21-03-2021
416,7.1,22-03-2021
417,5.3,23-03-2021
418,5.3,24-03-2021
419,5.3,25-03-2021
420,6.5,26-03-2021
421,6.8,27-03-2021
422,6.6,28-03-2021
423,4.9,29-03-2021
424,4.5,30-03-2021
425,5.4,31-03-2021
426,8.9,01-04-2021
427,8.8,02-04-2021
428,8.6,03-04-2021
429,7.8,04-04-2021
430,4.6,05-04-2021
431,4.6,06-04-2021
432,4.6,07-04-2021
433,7.4,08-04-2021
434,5.4,09-04-2021
435,5.7,10-04-2021
436,4.2,11-04-2021
437,5.9,12-04-2021
438,8.5,13-04-2021
439,7.9,14-04-2021
440,10.6,15-04-2021
441,11.4,16-04-2021
442,11.9,17-04-2021
443,11.5,18-04-2021
444,13.1,19-04-2021
445,11.2,20-04-2021
446,9.7,21-04-2021
